node    rtx6004
cores   32
out     /onyx/data/p330/c4
tokens  1e10 in 32 shards
2026-08-24T18:00:51+03:00
[val] /onyx/data/p330/c4/c4_val.bin: 0.010B tokens
[train 14/32] 113.9M tokens
[train 26/32] 96.8M tokens
[train 27/32] 97.4M tokens
[train 0/32] 129.5M tokens
[train 22/32] 129.4M tokens
[train 3/32] 129.4M tokens
[train 16/32] 129.7M tokens
[train 4/32] 145.4M tokens
[train 14/32] 130.0M tokens
[train 20/32] 113.1M tokens
[train 6/32] 112.8M tokens
[train 25/32] 129.8M tokens
[train 0/32] 145.7M tokens
[train 26/32] 113.1M tokens
[train 22/32] 145.6M tokens
[train 27/32] 113.7M tokens
[train 3/32] 145.5M tokens
[train 16/32] 145.8M tokens
[train 4/32] 161.6M tokens
[train 14/32] 146.1M tokens
[train 20/32] 129.3M tokens
[train 0/32] 161.9M tokens
[train 26/32] 129.3M tokens
[train 6/32] 128.8M tokens
[train 25/32] 146.0M tokens
[train 22/32] 161.6M tokens
[train 3/32] 161.6M tokens
[train 27/32] 130.0M tokens
[train 16/32] 161.6M tokens
[train 4/32] 177.7M tokens
[train 14/32] 162.2M tokens
[train 0/32] 178.2M tokens
[train 26/32] 145.7M tokens
[train 22/32] 177.7M tokens
[train 20/32] 145.6M tokens
[train 6/32] 144.8M tokens
[train 25/32] 162.0M tokens
[train 3/32] 177.8M tokens
[train 16/32] 177.8M tokens
[train 27/32] 146.2M tokens
[train 14/32] 178.5M tokens
[train 26/32] 161.7M tokens
[train 20/32] 161.4M tokens
[train 25/32] 178.1M tokens
[train 6/32] 161.3M tokens
[train 27/32] 162.4M tokens
[train 4/32] 195.7M tokens
[train 22/32] 196.1M tokens
[train 26/32] 177.6M tokens
[train 20/32] 177.9M tokens
[train 6/32] 177.6M tokens
[train 0/32] 196.3M tokens
[train 4/32] 211.8M tokens
[train 14/32] 196.8M tokens
[train 27/32] 178.8M tokens
[train 22/32] 212.4M tokens
[train 25/32] 196.2M tokens
[train 16/32] 196.0M tokens
[train 3/32] 195.6M tokens
[train 28/32] 16.4M tokens
[train 0/32] 212.5M tokens
[train 26/32] 195.4M tokens
[train 4/32] 228.1M tokens
[train 14/32] 213.3M tokens
[train 22/32] 228.7M tokens
[train 20/32] 196.1M tokens
[train 25/32] 212.4M tokens
[train 16/32] 212.1M tokens
[train 28/32] 32.4M tokens
[train 3/32] 211.7M tokens
[train 6/32] 195.8M tokens
[train 0/32] 228.7M tokens
[train 26/32] 211.6M tokens
[train 27/32] 196.8M tokens
[train 4/32] 244.3M tokens
[train 14/32] 229.6M tokens
[train 22/32] 244.9M tokens
[train 20/32] 212.4M tokens
[train 25/32] 228.7M tokens
[train 6/32] 211.7M tokens
[train 16/32] 228.5M tokens
[train 28/32] 48.3M tokens
[train 3/32] 228.1M tokens
[train 0/32] 244.8M tokens
[train 26/32] 227.6M tokens
[train 4/32] 260.5M tokens
[train 27/32] 212.9M tokens
[train 14/32] 245.7M tokens
[train 22/32] 261.1M tokens
[train 20/32] 228.6M tokens
[train 25/32] 244.8M tokens
[train 6/32] 228.1M tokens
[train 26/32] 243.6M tokens
[train 0/32] 261.1M tokens
[train 28/32] 64.4M tokens
[train 16/32] 244.7M tokens
[train 4/32] 276.4M tokens
[train 3/32] 244.4M tokens
[train 14/32] 261.8M tokens
[train 22/32] 277.5M tokens
[train 27/32] 228.9M tokens
[train 20/32] 245.2M tokens
[train 6/32] 244.1M tokens
[train 25/32] 261.0M tokens
[train 26/32] 260.2M tokens
[train 0/32] 277.4M tokens
[train 4/32] 292.8M tokens
[train 14/32] 277.9M tokens
[train 22/32] 293.7M tokens
[train 28/32] 80.7M tokens
[train 16/32] 260.9M tokens
[train 3/32] 260.6M tokens
[train 20/32] 261.7M tokens
[train 27/32] 245.2M tokens
[train 6/32] 260.3M tokens
[train 26/32] 276.7M tokens
[train 0/32] 293.7M tokens
[train 25/32] 277.3M tokens
[train 4/32] 308.9M tokens
[train 14/32] 294.1M tokens
[train 22/32] 310.0M tokens
[train 22/32] /onyx/data/p330/c4/c4_train.part22.bin: 0.313B tokens
[train 4/32] /onyx/data/p330/c4/c4_train.part4.bin: 0.313B tokens
[train 28/32] 97.0M tokens
[train 16/32] 277.0M tokens
[train 20/32] 278.0M tokens
[train 6/32] 276.4M tokens
[train 3/32] 276.5M tokens
[train 27/32] 261.3M tokens
[train 26/32] 292.8M tokens
[train 0/32] 310.0M tokens
[train 0/32] /onyx/data/p330/c4/c4_train.part0.bin: 0.313B tokens
[train 14/32] 310.3M tokens
[train 14/32] /onyx/data/p330/c4/c4_train.part14.bin: 0.313B tokens
[train 25/32] 293.7M tokens
[train 20/32] 294.2M tokens
[train 6/32] 292.4M tokens
[train 28/32] 113.2M tokens
[train 16/32] 292.9M tokens
[train 26/32] 308.9M tokens
[train 3/32] 292.5M tokens
[train 27/32] 277.3M tokens
[train 26/32] /onyx/data/p330/c4/c4_train.part26.bin: 0.313B tokens
[train 20/32] 310.5M tokens
[train 6/32] 308.6M tokens
[train 25/32] 309.9M tokens
[train 20/32] /onyx/data/p330/c4/c4_train.part20.bin: 0.313B tokens
[train 6/32] /onyx/data/p330/c4/c4_train.part6.bin: 0.313B tokens
[train 25/32] /onyx/data/p330/c4/c4_train.part25.bin: 0.313B tokens
[train 28/32] 129.5M tokens
[train 16/32] 308.9M tokens
[train 3/32] 308.7M tokens
[train 27/32] 293.7M tokens
[train 16/32] /onyx/data/p330/c4/c4_train.part16.bin: 0.313B tokens
[train 3/32] /onyx/data/p330/c4/c4_train.part3.bin: 0.313B tokens
[train 28/32] 145.5M tokens
[train 27/32] 309.9M tokens
[train 27/32] /onyx/data/p330/c4/c4_train.part27.bin: 0.313B tokens
[train 28/32] 161.9M tokens
[train 28/32] 178.0M tokens
[train 28/32] 196.3M tokens
[train 28/32] 212.4M tokens
[train 28/32] 228.5M tokens
[train 28/32] 244.8M tokens
[train 28/32] 260.8M tokens
[train 28/32] 276.8M tokens
[train 28/32] 292.9M tokens
[train 28/32] 309.0M tokens
[train 28/32] /onyx/data/p330/c4/c4_train.part28.bin: 0.313B tokens
